Login - 2018-10-08 6:35:17 PM: 0001
Login - 2018-10-08 6:39:14 PM: 0001
Added User - 2018-10-08 6:42:20 PM: New User Id: 0003,UserLevel: SALES_MANAGER,Added by: 0001
Added User - 2018-10-08 6:42:56 PM: New User Id: 0004,UserLevel: CONTROLLER,Added by: 0001
Login - 2018-10-08 7:10:12 PM: 0003
Login - 2018-10-08 7:10:35 PM: 0001
Added User - 2018-10-08 7:12:24 PM, New User Id: 0005,UserLevel: CLERK, Added by: 0001
Login - 2018-11-20 10:17:42 PM, User Id: ZORE
Login - 2018-11-20 10:24:01 PM, User Id: ZORE
Login - 2018-11-20 10:25:05 PM, User Id: ZORE
Login - 2018-11-20 10:29:08 PM, User Id: ZORE
Login - 2018-11-20 10:31:16 PM, User Id: ZORE
Login - 2018-11-20 10:33:30 PM, User Id: ZORE
Login - 2018-11-20 10:37:21 PM, User Id: ZORE
Login - 2018-11-20 10:41:55 PM, User Id: ZORE
Login - 2018-11-20 10:43:21 PM, User Id: ZORE
Login - 2018-11-21 10:38:04 PM, User Id: ZORE
Login - 2018-11-21 10:44:36 PM, User Id: ZORE
Login - 2018-11-21 10:50:05 PM, User Id: ZORE
Login - 2018-11-21 10:54:41 PM, User Id: ZORE
Login - 2018-11-21 11:01:03 PM, User Id: ZORE
Login - 2018-11-22 10:11:46 PM, User Id: KA01
Login - 2018-11-22 10:12:28 PM, User Id: MB01
Login - 2018-11-22 10:15:53 PM, User Id: MB01
Login - 2018-11-22 10:27:44 PM, User Id: MB01
Login - 2018-11-22 10:35:45 PM, User Id: MB01
Login - 2018-11-22 10:37:06 PM, User Id: MB01
Login - 2018-11-22 10:45:43 PM, User Id: MB01
Login - 2018-11-22 10:46:55 PM, User Id: MB01
Login - 2018-11-24 8:53:03 AM, User Id: KL03
Login - 2018-11-24 8:53:35 AM, User Id: KA01
Login - 2018-11-24 8:53:53 AM, User Id: MB01
Login - 2018-11-24 8:55:29 AM, User Id: MB01
Login - 2018-11-24 8:57:04 AM, User Id: MB01
Login - 2018-11-24 8:58:36 AM, User Id: MB01
Login - 2018-11-24 8:59:16 AM, User Id: MB01
Login - 2018-11-24 9:03:56 AM, User Id: MB01
Login - 2018-11-24 9:16:24 AM, User Id: MB01
Login - 2018-11-24 9:18:35 AM, User Id: MB01
Login - 2018-11-24 9:19:15 AM, User Id: MB01
Login - 2018-11-24 9:22:32 AM, User Id: MB01
Login - 2018-11-24 9:23:07 AM, User Id: MB01
Login - 2018-11-24 9:54:19 AM, User Id: MB01
Login - 2018-11-24 9:58:57 AM, User Id: MB01
Login - 2018-11-24 10:13:25 AM, User Id: MB01
Login - 2018-11-24 10:19:43 AM, User Id: MB01
Login - 2018-11-24 10:35:20 AM, User Id: MB01
Login - 2018-11-24 10:44:09 AM, User Id: MB01
Login - 2018-11-24 10:56:28 AM, User Id: MB01
Login - 2018-11-24 10:57:03 AM, User Id: MB01
Login - 2018-11-24 12:29:32 PM, User Id: MB01
Password Changed  - 2018-11-24 12:29:32 PM, User ID: MB01
Logout - 2018-11-24 12:29:34 PM, User Id: MB01
Login - 2018-11-24 12:30:01 PM, User Id: MB01
Login - 2018-11-24 12:37:03 PM, User Id: MB01
Password Changed  - 2018-11-24 12:37:03 PM, User ID: MB01
Logout - 2018-11-24 12:37:05 PM, User Id: MB01
Login - 2018-11-24 12:37:20 PM, User Id: MB01
Login - 2018-11-24 12:39:09 PM, User Id: MB01
Password Changed  - 2018-11-24 12:39:09 PM, User ID: MB01
Logout - 2018-11-24 12:39:12 PM, User Id: MB01
Login - 2018-11-24 1:12:42 PM, User Id: MB01
Login - 2018-11-24 3:02:26 PM, User Id: KL03
Logout - 2018-11-24 3:02:35 PM, User Id: KL03
Login - 2018-11-24 3:03:51 PM, User Id: KL03
Logout - 2018-11-24 3:03:55 PM, User Id: KL03
Login - 2018-11-24 3:06:58 PM, User Id: KL03
Logout - 2018-11-24 3:07:03 PM, User Id: KL03
Login - 2018-11-24 3:07:48 PM, User Id: KL03
Login - 2018-11-24 3:09:34 PM, User Id: KL03
Login - 2018-11-24 3:12:21 PM, User Id: KL03
Logout - 2018-11-24 3:12:26 PM, User Id: KL03
Login - 2018-11-24 3:13:16 PM, User Id: KL03
Login - 2018-11-24 3:38:45 PM, User Id: MB01
Login - 2018-11-24 3:39:42 PM, User Id: KL03
Logout - 2018-11-24 3:39:49 PM, User Id: KL03
